Ny Pump,Renoverad Pump,Besparing
2.86,1.2747904,1.58
3.98,2.4026808,1.58
5.11,3.5305712,1.58
6.24,4.6584616,1.58
7.37,5.786352,1.58
8.50,6.9142424,1.58
9.62,8.0421328,1.58
10.75,9.1700232,1.58
11.88,10.2979136,1.58
13.01,11.425804,1.58
14.13,12.5536944,1.58
15.26,13.6815848,1.58
16.39,14.8094752,1.58
17.52,15.9373656,1.58
18.65,17.065256,1.58
19.77,18.1931464,1.58
20.90,19.3210368,1.58
22.03,20.4489272,1.58
23.16,21.5768176,1.58
24.29,22.704708,1.58
25.41,23.8325984,1.58
26.54,24.9604888,1.58
27.67,26.0883792,1.58
28.80,27.2162696,1.58
31.65,28.35406,3.30
32.78,29.4819504,3.30
33.91,30.6098408,3.30
35.04,31.7377312,3.30
36.16,32.8656216,3.30
37.29,33.993512,3.30
38.42,35.1214024,3.30
39.55,36.3862928,3.16
40.68,37.5141832,3.16
41.80,38.6420736,3.16
42.93,39.769964,3.16
44.06,40.8978544,3.16
45.19,42.0257448,3.16
46.32,43.1536352,3.16
47.44,44.2815256,3.16
48.57,45.409416,3.16
49.70,46.5373064,3.16
50.83,47.6651968,3.16
51.95,48.7930872,3.16
53.08,49.9209776,3.16
54.21,51.048868,3.16
55.34,52.1767584,3.16
56.47,53.3046488,3.16
57.59,54.4325392,3.16
60.45,55.5703296,4.88
61.58,56.69822,4.88
62.71,57.8261104,4.88
63.83,58.9540008,4.88
64.96,60.0818912,4.88
66.09,61.2097816,4.88
67.22,62.337672,4.88
68.35,63.4655624,4.88
69.47,64.5934528,4.88
70.60,65.7213432,4.88
71.73,66.8492336,4.88
72.86,67.977124,4.88
73.98,69.1050144,4.88
75.11,70.2329048,4.88
76.24,71.4977952,4.74
77.37,72.6256856,4.74
78.50,73.753576,4.74
79.62,74.8814664,4.74
80.75,76.0093568,4.74
81.88,77.1372472,4.74
83.01,78.2651376,4.74
84.14,79.393028,4.74
85.26,80.5209184,4.74
86.39,81.6488088,4.74
89.25,82.7865992,6.46
90.38,83.9144896,6.46
91.50,85.04238,6.46
92.63,86.1702704,6.46
93.76,87.2981608,6.46
94.89,88.4260512,6.46
96.01,89.5539416,6.46
97.14,90.681832,6.46
98.27,91.8097224,6.46
99.40,92.9376128,6.46
100.53,94.0655032,6.46
101.65,95.1933936,6.46
102.78,96.321284,6.46
103.91,97.4491744,6.46
105.04,98.5770648,6.46
106.17,99.7049552,6.46
107.29,100.8328456,6.46
108.42,101.960736,6.46
109.55,103.0886264,6.46
110.68,104.2165168,6.46
111.81,105.3444072,6.46
112.93,106.6092976,6.32
114.06,107.737188,6.32
115.19,108.8650784,6.32
118.04,110.0028688,8.04
119.17,111.1307592,8.04
120.30,112.2586496,8.04
121.43,113.38654,8.04
122.56,114.5144304,8.04
123.68,115.6423208,8.04
124.81,116.7702112,8.04
125.94,117.8981016,8.04
127.07,119.025992,8.04
128.20,120.1538824,8.04
129.32,121.2817728,8.04
130.45,122.4096632,8.04
131.58,123.5375536,8.04
132.71,124.665444,8.04
133.83,125.7933344,8.04
134.96,126.9212248,8.04
136.09,128.0491152,8.04
137.22,129.1770056,8.04
138.35,130.304896,8.04
139.47,131.4327864,8.04
140.60,132.5606768,8.04
141.73,133.6885672,8.04
142.86,134.8164576,8.04
143.99,135.944348,8.04
146.84,137.0821384,9.76
